"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"PL 5111/2025";"Institui o Programa Nacional Movimenta, destinado à promoção da vida ativa, da acessibilidade e da requalificação dos ambientes públicos, comunitários e de trabalho, e dá outras providências.";"";"José Guimarães";"CE";"PT";"13/10/2025";"Aguardando Indexação";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570873"
"PL 5110/2025";"Altera o art. 61 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para prever como agravante penal os crimes dolosos que resultem em lesões, mutilações ou agressões dirigidas a face, pescoço, cabeça, seios e genitália ou que acarrete traumas faciais em crimes de violência contra as mulheres. 
";"";"Erika Hilton";"SP";"PSOL";"13/10/2025";"Aguardando Indexação";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570847"
"PL 5109/2025";"Institui a Lei Isabella Nardoni – Responsabilidade Comunitária, cria o Protocolo Isabela Nardoni de Proteção à Criança e ao Adolescente na Vizinhança, estabelece obrigações para condomínios, profissionais de condomínios e residências, e lideranças comunitárias, dispõe sobre campanhas de conscientização, e dá outras providências..
";"";"Marcelo Álvaro Antônio";"MG";"PL";"13/10/2025";"Aguardando Indexação";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570829"
"PL 5108/2025";"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para aperfeiçoar a tipificação e a responsabilização por adulteração, falsificação ou corrupção de produtos alimentícios e bebidas, estabelecer mecanismos de rastreabilidade e fiscalização tecnológica, e prever excludentes de responsabilidade para o comerciante de boa-fé.";"";"Dimas Gadelha";"RJ";"PT";"13/10/2025";"Aguardando Indexação";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570825"
"PL 5107/2025";"Altera a Lei nº 9.263, de 12 de janeiro de 1996, e a Lei nº 11.664, de 29 de abril de 2008, para assegurar o acesso à criopreservação de óvulos para mulheres em tratamento oncológico com risco de perda da fertilidade, no âmbito do Sistema Único de Saúde.";"";"Renata Abreu";"SP";"PODE";"13/10/2025";"Aguardando Indexação";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570819"
"PL 5106/2025";"Dispõe sobre normas para o diagnóstico precoce e tratamento da Hipertermia Maligna.";"";"Adail Filho";"AM";"REPUBLIC";"13/10/2025";"Aguardando Indexação";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570814"
"PL 5105/2025";"Altera a Lei nº 9.394, de 20 de dezembro de 1996, para assegurar a continuidade do aleitamento materno às crianças de 0 a 36 meses matriculadas em creches ou entidades equivalentes.";"";"Talíria Petrone";"RJ";"PSOL";"13/10/2025";"Aguardando Indexação";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570811"
"PL 5104/2025";"Denomina “Passarela Durval Savi” a passarela localizada sobre a BR-116, em São Leopoldo, no Estado do Rio Grande do Sul.  ";"";"Pompeo de Mattos";"RS";"PDT";"13/10/2025";"Aguardando Encaminhamento";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570721"
"PL 5098/2025";"Altera a Lei nº 12.305, de 2 de agosto de 2010, para dispor sobre o gerenciamento de resíduos gerados em eventos.";"";"Flávia Morais";"GO";"PDT";"13/10/2025";"Aguardando Encaminhamento";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570707"
"PL 5097/2025";"Altera o art. 171 do Código Penal para prevê causa especial de aumento de pena quando o crime de estelionato for praticado em detrimento da função jurisdicional ou contra os sujeitos que a integram (advogado, juiz e promotor de justiça).";"";"Dimas Fabiano";"MG";"PP";"13/10/2025";"Aguardando Encaminhamento";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2570673"
